id,name,character
17857,Shaun Toub,Yinsen
12052,Gwyneth Paltrow,"Virginia ""Pepper"" Potts"
1229,Jeff Bridges,Obadiah Stane / Iron Monger
18288,Terrence Howard,War Machine
57451,Leslie Bibb,Christine Everhart
57452,Faran Tahir,Raza
3223,Robert Downey Jr.,Tony Stark / Iron Man
9048,Clark Gregg,Agent Phil Coulson
173810,Sayed Badreya,Abu Bakaar
6162,Paul Bettany,J.A.R.V.I.S. (voice)
15277,Jon Favreau,Happy Hogan
12708,Peter Billingsley,William Ginter Riva
40275,Tim Guinee,Major Allen
2231,Samuel L. Jackson,Director Nick Fury
17200,Bill Smitrovich,General Gabriel
163671,Will Lyman,Award Ceremony Narrator (voice)
78299,Tom Morello,Guard
54809,Marco Khan,Guard
944830,Daston Kalili,Guard
1209417,Ido Ezra,Guard
95698,Kevin Foster,Jimmy
1209418,Garret Noël,Pratt
62037,Eileen Weisinger,Ramirez
183439,Ahmed Ahmed,Ahmed
109669,Fahim Fazli,Omar
104669,Gerard Sanders,Howard Stark
1209419,Tim Rigby,Viper 1
195442,Russell Richardson,Viper 2
142213,Nazanin Boniadi,Amira Ahmed
1209702,Thomas Craig Plumer,Colonel Craig
1209703,Robert Berkman,Dealer at Craps Table
183037,Stacy Stas,Woman at Craps Table
1209704,Lauren Scyphers,Woman at Craps Table
214951,Frank Nyi,Engineer
205362,Marvin Jordan,Air Force Officer
203468,Jim Cramer,Jim Cramer
939869,Donna Evans,Woman In SUV
1209705,Reid Harper,Kid in SUV
1209706,Summer Kylie Remington,Kid in SUV
1209707,Ava Rose Williams,Kid in SUV
1209708,Vladimir Kubr,Kid in SUV
1209709,Callie Croughwell,Kid in SUV
1209710,Javan Tahir,Gulmira Kid
206423,Sahar Bibiyan,Gulmira Mom
133121,Patrick O'Connell,Reporter
181895,Adam Harrington,Reporter
62843,Meera Simhan,Reporter
204606,Ben Newmark,Reporter
210842,Ricki Lander,Flight Attendant
205720,Jeannine Kaspar,Flight Attendant
1005698,Sarah Cahill,Flight Attendant
7624,Stan Lee,Stan Lee
1209711,Justin Rex,Air Force Lieutenant
90721,Zorianna Kit,Zorianna Kit
169681,Lana Kinnear,Stan's Girl
1209712,Nicole Lindeblad,Stan's Girl
1209713,Masha Lund,Stan's Girl
169642,Gabrielle Tuite,Stan's Girl
27031,Tim Griffin,CAOC Analyst
34544,Joshua Harto,CAOC Analyst
150669,Micah A. Hauptman,CAOC Analyst
1209714,James Bethea,CAOC Analyst
1209715,Jeffrey Ashkin,Photographer (uncredited)
1004624,Russell Bobbitt,Georgio (uncredited)
984619,Vianessa Castaños,Fireman's Wife (uncredited)
1209716,Mike Cochrane,Gulmira Villager (uncredited)
1209717,Crystal Marie Denha,Dubai Beauty (uncredited)
970218,Mellany Gandara,Dubai Girl (uncredited)
1209718,Halla,House wife at Award Ceremony (uncredited)
1202546,Rodrick Hersh,Insurgent (uncredited)
1209719,Kristin J. Hooper,Reporter (uncredited)
1209720,Chris Jalandoni,Dubai Waiter (uncredited)
1209721,Steve Janousek,Party Guest (uncredited)
1209722,Laura Liguori,Dancer in Ballroom (uncredited)
1089759,Flavia Manes Rossi,Reporter (uncredited)
1096679,Anthony Martins,Village Dad (uncredited)
1209723,Robert McMurrer,Reporter (uncredited)
1209724,James M. Myers,Airforce Officer (uncredited)
78434,America Olivo,Dubai Beauty #1 (uncredited)
1209725,Sylvette Ortiz,Staff Sergeant (uncredited)
1209726,Brett Padelford,Journalist (uncredited)
1209727,Ajani Perkins,Voice (uncredited)
1209728,Chris Reid,Reporter (uncredited)
1209729,Toi Rose,News Cameraman (uncredited)
1209730,George F. Watson,Rooftop Fireman (uncredited)
1209731,David Zyler,Whiplash One (voice) (uncredited)
1429470,Nick W. Nicholson,Reporter (uncredited)
